2026-03-03 10:15:09 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-03 10:15:09 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-03 10:15:09 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-03 10:15:09 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-03 10:15:28 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): 17.push2.eastmoney.com:443
2026-03-03 10:15:29 | DEBUG    | urllib3.connectionpool:475 | https://17.push2.eastmoney.com:443 "GET /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f3&fs=m%3A90+t%3A2+f%3A%2150&fields=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf12%2Cf13%2Cf14%2Cf15%2Cf16%2Cf17%2Cf18%2Cf20%2Cf21%2Cf23%2Cf24%2Cf25%2Cf26%2Cf22%2Cf33%2Cf11%2Cf62%2Cf128%2Cf136%2Cf115%2Cf152%2Cf124%2Cf107%2Cf104%2Cf105%2Cf140%2Cf141%2Cf207%2Cf208%2Cf209%2Cf222 HTTP/1.1" 200 13713
2026-03-03 10:15:29 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-03 10:15:30 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): 17.push2.eastmoney.com:443
2026-03-03 10:15:30 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/exchangeInfo HTTP/1.1" 200 None
2026-03-03 10:15:30 | INFO     | backpack_quant_trading.core.binance_monitor:396 | 币种列表已缓存，共 543 个 USDT 永续合约
2026-03-03 10:15:32 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): 17.push2.eastmoney.com:443
2026-03-03 10:15:35 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): 17.push2.eastmoney.com:443
2026-03-03 10:15:36 | WARNING  | backpack_quant_trading.core.stock_ai:111 | 获取行业列表失败: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
